Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone,Latitude,Longitude
Coomatallin Wind Farm,Wind,Onshore,5.95,01-01-2005,Cork,DSO,South,51.8979,-8.4706
Milane Hill Wind Farm,Wind,Onshore,5.94,01-09-2000,Cork,DSO,South,51.8979,-8.4706
Largan Hill,Wind,Onshore,5.94,01-11-2000,Mayo,DSO,West,53.9846,-9.2822
Esk Wind Farm Phase 1,Wind,Onshore,5.4,16-10-2020,Cork,DSO,South,51.8979,-8.4706
Mount Eagle Wind Farm,Wind,Onshore,5.1,01-03-2005,Kerry,DSO,South,52.1545,-9.5669
Knocknalour Wind Farm (1),Wind,Onshore,5.0,20-06-2013,Wexford,DSO,East,52.3369,-6.4629
Kilronan,Wind,Onshore,5.0,01-12-1997,Roscommon,DSO,West,53.627,-8.19
Lurganboy Wind Farm,Wind,Onshore,4.99,01-06-2008,Donegal,DSO,North,54.6544,-8.1041
Carrons (A&B) Wind Farm,Wind,Onshore,4.99,26-11-2010,Limerick,DSO,South,52.6638,-8.6267
Greenoge Wind Farm,Wind,Onshore,4.99,27-06-2005,Galway,DSO,West,53.2707,-9.0568
Clydaghroe Wind Farm,Wind,Onshore,4.99,24-04-2012,Donegal,DSO,North,54.6544,-8.1041
Ballycurreen Wind Farm,Wind,Onshore,4.99,26-03-2014,Waterford,DSO,South,52.2593,-7.1101
Cronelea Wind Farm,Wind,Onshore,4.99,21-05-2007,Carlow,DSO,East,52.8365,-6.9341
Mount Cronalaght,Wind,Onshore,4.98,01-07-1997,Mayo,DSO,West,53.9846,-9.2822
Geevagh Wind Farm,Wind,Onshore,4.95,01-01-2006,Monaghan,DSO,North,54.2498,-6.9683
Corrie Mt.,Wind,Onshore,4.8,01-03-1997,Roscommon,DSO,West,53.627,-8.19
Kilberehert Wind Farm,Wind,Onshore,4.799,14-04-2017,Cork,DSO,South,51.8979,-8.4706
Kilmeedy Wind Farm,Wind,Onshore,4.7,22-12-2016,Cork,DSO,South,51.8979,-8.4706
Kiltumper Wind Farm,Wind,Onshore,4.69,18-12-2019,Clare,DSO,West,52.8436,-9.0038
Lenanavea (Burren) Wind Farm,Wind,Onshore,4.65,07-02-2011,Mayo,DSO,West,53.9846,-9.2822
Currabwee Wind Farm,Wind,Onshore,4.62,01-11-1999,Cork,DSO,South,51.8979,-8.4706
Ballincurry Wind Farm Ltd (Glengoole),Wind,Onshore,4.6,31-05-2019,Tipperary,DSO,South,52.4732,-8.1615
Seltanaveeny Wind Farm,Wind,Onshore,4.6,25-03-2011,Roscommon,DSO,West,53.627,-8.19
Skrine Wind Farm,Wind,Onshore,4.6,20-03-2011,Longford,DSO,East,53.7275,-7.7939
Carrownaweelaun Wind Farm,Wind,Onshore,4.6,03-07-2015,Clare,DSO,West,52.8436,-9.0038
Ballagh Wind Farm,Wind,Onshore,4.6,31-01-2018,Roscommon,DSO,West,53.627,-8.19
Reenascreena Wind Farm,Wind,Onshore,4.5,24-06-2009,Cork,DSO,South,51.8979,-8.4706
Curraghderrig,Wind,Onshore,4.5,14-12-2017,Roscommon,DSO,West,53.627,-8.19
Cronelea Wind Farm (2),Wind,Onshore,4.5,11-12-2009,Carlow,DSO,East,52.8365,-6.9341
Kilvinane Wind Farm,Wind,Onshore,4.5,01-08-2006,Cork,DSO,South,51.8979,-8.4706
Gartnaneane II Wind Farm,Wind,Onshore,4.5,01-11-2004,Meath,DSO,East,53.6056,-6.6564
WEDcross Wind Farm,Wind,Onshore,4.5,01-11-2009,Kerry,DSO,South,52.1545,-9.5669
Rathnacally Wind Farm,Wind,Onshore,4.45,09-07-2018,Cork,DSO,South,51.8979,-8.4706
Boolard Wind Farm,Wind,Onshore,4.45,05-12-2019,Cork,DSO,South,51.8979,-8.4706
