Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone
Dunmore 2,Wind,Onshore,1.8,01-05-2009,Wexford,DSO,East
Knocknagoum (2),Wind,Onshore,1.8,13-09-2013,Kerry,DSO,South
Dunmore Wind Farm,Wind,Onshore,1.7,01-07-2006,Wexford,DSO,East
Cronelea Upper Wind Farm (2),Wind,Onshore,1.7,11-12-2009,Carlow,DSO,East
Beallough Wind Farm,Wind,Onshore,1.7,01-11-2008,Waterford,DSO,South
Mount Eagle Wind Farm (2),Wind,Onshore,1.7,01-11-2008,Kerry,DSO,South
Crocane Wind Farm,Wind,Onshore,1.7,27-01-2011,Cork,DSO,South
Beale Hill (1),Wind,Onshore,1.65,01-11-2000,Roscommon,DSO,West
Slievereagh Wind Farm (2),Wind,Onshore,1.6,01-12-2014,Tipperary,DSO,South
Liffey Autoproduction Project,Wind,Onshore,1.6,15-12-2017,Dublin,DSO,East
Tullynamoyle Wind Farm 3 (Carrane Hill Merged Capacity),Wind,Onshore,1.598,18-09-2017,Monaghan,DSO,North
Cuillalea Wind Farm (2),Wind,Onshore,1.59,31-08-2010,Mayo,DSO,West
Ballybane 2A (Glanta Commons) Wind Farm Extension,Wind,Onshore,1.55,29-01-2017,Cork,DSO,South
Liffey Autoproduction Project (extension),Wind,Onshore,1.417,15-12-2017,Dublin,DSO,East
Glackmore Hill (2),Wind,Onshore,1.4,28-04-2009,Donegal,DSO,North
Beale Hill (3) Wind Farm,Wind,Onshore,1.3,14-11-2016,Roscommon,DSO,West
Garracummer (2),Wind,Onshore,1,11-02-2015,Tipperary,DSO,South
Pluckanes Wind Farm,Wind,Onshore,0.85,27-09-2013,Waterford,DSO,South
Collon Wind Power Limited (Gate 2),Wind,Onshore,0.7,11-04-2016,Wexford,DSO,East
Knock South Wind Farm (2),Wind,Onshore,0.69,01-01-1999,Galway,DSO,West
Burtonport Harbour Single Turbine,Wind,Onshore,0.66,01-07-2003,Mayo,DSO,West
Mounvaun (Mienvee) Wind Farm,Wind,Onshore,0.66,01-01-2004,Clare,DSO,West
Ballyduff Wind Farm,Wind,Onshore,0.6,13-01-2017,Wexford,DSO,East
Glackmore Hill (1),Wind,Onshore,0.6,28-04-2009,Donegal,DSO,North
Muine Bheag Wind,Wind,Onshore,0.5,22-04-2022,Carlow,DSO,East
Country Crest,Wind,Onshore,0.5,07-03-2011,Dublin,DSO,East
Dundalk IT Wind Turbine,Wind,Onshore,0.5,01-01-2006,Louth,DSO,East
Anarget Wind Farm (3),Wind,Onshore,0.5,04-11-2011,Donegal,DSO,North
Mossedge Wind Farm,Wind,Onshore,0.5,17-01-2019,Donegal,DSO,North
Michael Aylward,Wind,Onshore,0.5,26-09-2016,Waterford,DSO,South
Ballynultagh Wind Farm,Wind,Onshore,0.499,20-03-2020,Carlow,DSO,East
Ballon Wind,Wind,Onshore,0.499,07-09-2017,Carlow,DSO,East
Gortnahalla,Wind,Onshore,0.499,07-06-2019,Tipperary,DSO,South
Moyvane Wind,Wind,Onshore,0.499,10-12-2019,Roscommon,DSO,West
Tesco Donabate,Wind,Onshore,0.499,01-09-2016,Dublin,DSO,East
Kilpatrick Wind,Wind,Onshore,0.499,30-01-2020,Cork,DSO,South
Patrick Costello Wind Turbine,Wind,Onshore,0.495,21-12-2018,Tipperary,DSO,South
KWT Energy Ltd,Wind,Onshore,0.49,20-12-2016,Waterford,DSO,South
Meenkeeragh Wind Farm (2),Wind,Onshore,0.4,25-04-2013,Donegal,DSO,North
Glackmore Hill (3),Wind,Onshore,0.3,28-04-2009,Donegal,DSO,North
Meade Potato Company,Wind,Onshore,0.3,03-06-2014,Wexford,DSO,East
Moneenatieve Wind Farm (2),Wind,Onshore,0.29,15-10-2011,Monaghan,DSO,North
Donaghmede Fr Collins Park Wind Farm,Wind,Onshore,0.25,01-05-2009,Sligo,DSO,West
Mounvaun (Mienvee) Wind Farm (2),Wind,Onshore,0.19,01-01-2008,Clare,DSO,West
Burtonstown Autoproducer,Wind,Onshore,0.15,01-10-2014,Wexford,DSO,East
